ID,START TIME,END TIME,AREA ID,AREA NAME,HOUSE ID,HOUSE NAME,TYPE
323,2015-12-15 12:53:42.880215,2015-12-16 22:19:15.582000,2,Rancho Grande Landerwood,,,MAIN,
341,2015-12-15 16:57:57.110050,2015-12-15 18:23:07.957000,2,Rancho Grande Landerwood,67,918 W Wagon Wheel Dr,HOUSE,
381,2015-12-16 02:37:28.174880,2015-12-16 04:23:21.060000,2,Rancho Grande Landerwood,59,7541 N 8th Ave,HOUSE,
354,2015-12-15 19:25:55.904704,2015-12-15 22:54:12.056000,2,Rancho Grande Landerwood,112,7717 N 11th Ave,HOUSE,
324,2015-12-15 12:54:23.068809,2015-12-15 15:30:11.651000,2,Rancho Grande Landerwood,82,1018 W Kaler Dr,HOUSE,
325,2015-12-15 12:54:26.846049,2015-12-15 15:32:04.406000,2,Rancho Grande Landerwood,83,7612 N 10th Ave,HOUSE,
364,2015-12-15 22:20:18.060492,2015-12-15 22:59:57.822000,2,Rancho Grande Landerwood,109,1002 W Frier Dr,HOUSE,
326,2015-12-15 12:54:32.532925,2015-12-15 15:32:41.459000,2,Rancho Grande Landerwood,81,7619 N 11th Ave,HOUSE,
343,2015-12-15 17:19:01.470017,2015-12-15 18:30:06.408000,2,Rancho Grande Landerwood,98,7636 N 9th Ave,HOUSE,
340,2015-12-15 16:52:31.163144,2015-12-15 18:50:14.093000,2,Rancho Grande Landerwood,113,7701 N 11th Ave,HOUSE,
330,2015-12-15 12:55:01.240746,2015-12-15 15:38:47.245000,2,Rancho Grande Landerwood,92,910 W Kaler Dr,HOUSE,
380,2015-12-16 02:37:02.384259,2015-12-16 04:23:37.143000,2,Rancho Grande Landerwood,60,7545 N 8th Ave,HOUSE,
329,2015-12-15 12:54:55.719686,2015-12-15 15:41:01.602000,2,Rancho Grande Landerwood,69,1018 W Wagon Wheel Dr,HOUSE,
336,2015-12-15 15:46:01.584495,2015-12-15 19:07:32.246000,2,Rancho Grande Landerwood,89,7615 N 10th Ave,HOUSE,
327,2015-12-15 12:54:36.169329,2015-12-15 16:02:07.379000,2,Rancho Grande Landerwood,71,1009 W Kaler Dr,HOUSE,
